month,en,pl,ca,is
2016-01,9330869593,367633635,33539012,3487849
2016-02,8684367374,348753288,29986281,3528771
2016-03,8802611656,341172832,29733715,3361608
2016-04,8932908573,313561525,28140058,3451096
2016-05,8816345693,316914891,29393734,3387969
2016-06,8469766795,302974350,26029573,3233379
2016-07,9063543513,268621844,20679266,2623529
2016-08,9561663263,273523955,23530267,2645387
2016-09,8908260188,290887104,24942009,2775190
2016-10,9181120538,353053953,31086704,3001945
2016-11,9292574777,343342096,34604521,2933971
2016-12,9331094684,319677962,35761445,3260710
2017-01,10040639362,351074136,31710619,3547378
2017-02,8937819363,310760618,30797866,3234903
2017-03,9715994729,349938309,36365083,4439257
2017-04,9629023336,310503393,34950715,2853481
2017-05,9541763814,325057522,34333125,2878773
2017-06,8338755986,273268776,26117272,2452848
2017-07,8387652169,244001499,22018655,2551523
2017-08,8296654246,249157398,23850883,2613853
2017-09,8330508255,263169110,29065633,3221525
2017-10,9136097480,286944502,34677353,2904178
2017-11,9138403475,301400424,32897372,2911691
2017-12,9219574643,282219786,31873319,2936501
2018-01,10015272145,341026830,36139428,3040656
2018-02,9021649881,287978651,33458444,2798568
2018-03,9283433216,307793246,36439444,3071008
2018-04,8974420145,309473906,35653389,3075015
2018-05,9136114340,307351206,38745195,4017512
2018-06,8539408987,284554277,33772391,3181773
2018-07,8857185799,273687405,30380424,3402881
2018-08,8712603535,264712334,32239054,3797447
2018-09,8483577326,275865190,33766305,3981948
2018-10,8936908100,304351043,38679962,4040181
2018-11,8627245666,329408290,36843324,3908475
2018-12,9277192251,313117101,35862483,3779997
2019-01,9834685480,349354468,39898063,3709045
2019-02,8410127951,307739765,38369269,3459710
2019-03,9068839271,340134754,39676135,3628215
2019-04,8958827856,281839709,37071690,3274446
2019-05,8870499898,308624585,36628972,3015988
2019-06,8474311490,272864171,34355066,2976908
2019-07,9051113326,293559391,32852425,2891254
2019-08,8960173622,280766118,34101994,3260545
2019-09,8860804661,272793596,32701339,3085866
2019-10,9570051741,304523663,40173992,3317440
2019-11,9251580928,309069097,39657576,3508629
2019-12,9421143220,319728253,36702198,4436689
2020-01,9895757869,357722111,40018946,4179298
2020-02,8995442661,304000264,38207355,3484928
2020-03,9636779586,362238704,44699446,3847257
2020-04,11281345514,402359781,50888027,4241139
2020-05,10948391851,407523778,47300448,4730649
2020-06,9632673871,311337469,33882403,4348445
2020-07,9717306043,280510472,33441146,4129666
2020-08,9468568402,275802878,30726644,3358400
2020-09,9278322594,278605737,30221749,3828035
2020-10,9847653275,317882945,38539134,4721558
2020-11,9999345740,373999588,39936639,3479283
2020-12,9836755274,346756470,39593169,3678029
2021-01,10344371474,370645886,43871466,4029660
2021-02,9277964523,343628087,44759303,5830709
2021-03,9995982090,374381607,43244708,4620772
2021-04,9692116133,365531742,41926278,4051939
2021-05,9871033234,336019717,45629347,4177082
2021-06,9048095624,297328278,38684248,3494435
2021-07,9850698065,284922387,34164531,3888473
2021-08,9745260330,282867831,37805485,4258320
2021-09,9217504772,278694807,37247125,4262752
2021-10,9168265203,312395028,43209901,4627374
2021-11,8668083530,319464245,42568551,4282228
2021-12,8761073705,313629824,42640158,4975345
2022-01,9676744713,365118095,44450912,5182507
2022-02,9047838902,329865562,43800505,5194286
2022-03,9465549905,333492893,49067765,5662780
2022-04,9083181076,295814631,44188328,4647553
2022-05,9291179547,292012805,49247574,4730392
2022-06,8898068759,266556856,41700243,4506474
2022-07,9387220569,263467459,39130166,4292418
2022-08,9880432657,276546120,38434374,4248413
2022-09,10112983587,309293750,39656487,4448214
