month,a1,c1,a2,c2,a3,c3
2015-12,Star Wars: The Force Awakens,14232171,Star Wars,7858067,Web scraping,4980863
2016-01,David Bowie,13921255,Bruce Kingsbury,10478487,List of stock market crashes and bear markets,6890570
2016-02,Web scraping,30681090,Donald Trump,7917697,Deadpool (film),6954561
2016-03,Donald Trump,20698695,Batman v Superman: Dawn of Justice,6899616,XHamster,6379266
2016-04,Prince (musician),17545455,XHamster,6154208,The Adventures of Tintin,4103993
2016-05,Captain America: Civil War,8146681,XHamster,6611850,Azúcar Moreno,4789532
2016-06,Muhammad Ali,11073176,UEFA Euro 2016,8844406,XHamster,6071626
2016-07,Pokémon Go,9257834,XHamster,6112387,Donald Trump,4808342
2016-08,Michael Phelps,9065466,Suicide Squad (film),7473893,2016 Summer Olympics,7228565
2016-09,404.php,10500013,AMGTV,8359031,Proyecto 40,7308305
2016-10,404.php,12409689,AMGTV,9600599,Proyecto 40,8411115
2016-11,404.php,23697128,Donald Trump,18083152,AMGTV,10531409
2016-12,404.php,42157957,Carrie Fisher,10774043,George Michael,7928667
2017-01,404.php,30121218,Donald Trump,9795564,1996 in music,5447653
2017-02,404.php,26974150,XXX,5064585,Bill Paxton,4558203
2017-03,404.php,6764882,Logan (film),6110328,XXX,5686584
2017-04,13 Reasons Why,8312990,Thirteen Reasons Why,4334723,The Fate of the Furious,4209420
2017-05,Baahubali 2: The Conclusion,7910614,List of highest-grossing Indian films,5425289,Chris Cornell,5071574
2017-06,XHamster,10457046,Charles Darwin,8290921,Gal Gadot,5541553
2017-07,XHamster,11237417,Chester Bennington,6938542,Game of Thrones (season 7),4218005
2017-08,XHamster,10786166,Game of Thrones (season 7),7063543,Game of Thrones,5481576
2017-09,XHamster,10211353,It (2017 film),7562751,"Curse, Inc.",6145576
2017-10,XHamster,10599718,Harvey Weinstein,6911056,Tom Petty,6244384
2017-11,XHamster,9539132,Meghan Markle,8325659,Justice League (film),5501717
2017-12,XHamster,8559765,Star Wars: The Last Jedi,7384823,Bitcoin,4872179
2018-01,XHamster,8158188,JSON Web Token,5841722,HTTP cookie,5667308
2018-02,Black Panther (film),8163571,XHamster,6974777,Sridevi,6359702
2018-03,Stephen Hawking,12189039,XHamster,7343441,Black Panther (film),4437589
2018-04,Avengers: Infinity War,9218047,XHamster,7926019,Avicii,7742674
2018-05,Meghan Markle,11758568,Avengers: Infinity War,10258562,"Meghan, Duchess of Sussex",7790729
2018-06,2018 FIFA World Cup,13182222,Anthony Bourdain,8515891,XXXTentacion,8248433
2018-07,2018 FIFA World Cup,8614841,XHamster,6978364,Exo (band),5786931
2018-08,Aretha Franklin,6306159,Louis Tomlinson,6162583,John McCain,5667687
2018-09,Louis Tomlinson,6961275,Mac Miller,5982486,Burt Reynolds,4980876
2018-10,Tunnel,10158540,Cook's Country,8383884,Louis Tomlinson,6164032
2018-11,Freddie Mercury,9914624,Stan Lee,6615990,XHamster,4405501
2018-12,George H. W. Bush,6932653,Jason Momoa,5322894,2.0 (film),4793797
2019-01,Ted Bundy,7293874,Louis Tomlinson,5231127,XHamster,4039614
2019-02,Freddie Mercury,6464633,Louis Tomlinson,5497023,Grover,4975383
2019-03,Captain Marvel (film),7070703,Luke Perry,6362644,Us (2019 film),4590483
2019-04,Avengers: Endgame,13499153,Nipsey Hussle,8672189,Notre-Dame de Paris,7057836
2019-05,Avengers: Endgame,13427466,List of highest-grossing films,9724824,Ted Bundy,9315568
2019-06,Chernobyl disaster,9094778,Central Park jogger case,6118012,Keanu Reeves,4650741
2019-07,Cameron Boyce,7350131,Spider-Man: Far From Home,4869957,Area 51,4648557
